レースID(新),馬番,前走補9,前走補正,複勝オッズ下限,複勝オッズ上限
202606060903010712,12, 71, 87,37.7,169.0
202606060903010716,16, 78, 93,8.8,38.2
202606060903010701,1, 80, 97,2.8,11.1
202606060903010707,7,,,3.1,12.5
202606060903010715,15, 78, 94,4.5,18.5
202606060903010708,8, 58, 73,37.3,167.5
202606060903010713,13,,,16.7,74.0
202606060903010717,17, 69, 85,7.9,34.1
202606060903010718,18, 62, 80,4.2,17.3
202606060903010706,6, 57, 75,20.5,91.3
202606060903010614,14, 80, 98,1.1,1.7
202606060903010605,5, 74, 92,4.3,10.0
202606060903010609,9, 80, 98,1.1,1.2
202606060903010615,15, 60, 79,7.1,17.3
202606060903010606,6, 80, 97,4.0,9.3
202606060903010603,3, 74, 92,1.5,3.0
202606060903010610,10, 46, 64,7.1,17.1
202606060903010607,7, 72, 90,2.2,4.9
202606060903010601,1, 77, 95,4.4,10.5
202606060903010602,2, 56, 72,61.9,155.5
202606060903010612,12, 78, 96,2.3,5.0
202606060903010608,8, 67, 86,4.0,9.5
202606060903010604,4, 62, 78,37.3,93.4
202606060903010611,11, 67, 85,10.6,26.0
202606060903010613,13,,,66.8,167.8
