レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041203010201,2026.4.12,日,福島,1福2,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
2,,3,,,,,タイセイフリーデン,,牡,3,12,1,17,京都,D,1200,良,14,9,未勝利,38.9,中団,2,1,5,京都,D,1200,良,6,8,新馬,36.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,ディジーピナクル,,牡,3,28,9,27,阪神,T,1200,良,14,2,未勝利*,37.0,中団,2,9,13,阪神,T,1200,良,3,2,新馬,34.6,追込,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,アッシュグレイス,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,リナシタ,,牝,3,12,1,18,中山,D,1200,良,10,7,未勝利,40.3,中団,6,12,7,中山,T,1200,良,3,2,新馬,34.9,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ナツノオジョウサマ,,牝,3,3,3,21,阪神,D,1200,稍,3,6,未勝利,38.1,逃げ,2,3,7,阪神,D,1400,稍,11,8,未勝利,40.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,アースジャッジ,,牡,3,13,1,10,中山,T,1600,良,16,11,未勝利,37.8,後方,14,10,5,東京,D,1600,良,15,8,新馬,40.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,グレイシエーション,,牝,3,12,1,18,中山,D,1200,良,6,1,未勝利,40.5,先行,11,11,2,東京,T,1600,良,6,4,新馬・牝,35.2,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ツルノマイハシ,,牝,3,15,12,28,中山,T,1200,良,6,4,未勝利*,34.8,中団,2,12,14,中山,T,1200,良,3,4,未勝利*,35.0,差し,4,11,16,東京,T,1400,良,5,13,未勝利・牝*,34.3,後方,7,9,28,中山,T,1600,良,8,8,サフラン･1勝,36.6,後方,2,9,14,中山,T,1800,良,6,7,新馬,34.1,中団,初
6,,11,,,,,コラカオ,,牡,3,26,10,12,京都,D,1800,良,15,15,新馬,41.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,ラブペイトー,,牝,3,22,11,8,京都,D,1800,良,11,12,未勝利・牝*,41.5,後方,3,10,18,京都,D,1400,稍,12,16,新馬,38.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,ユウアイ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,ロジスカヤ,,牝,3,11,1,25,中山,T,1600,良,10,7,未勝利,37.5,逃げ,10,11,15,福島,T,1200,良,12,10,未勝利*,36.3,先行,11,8,31,新潟,T,1400,良,8,5,未勝利*,37.3,先行,4,8,3,新潟,T,1600,良,8,4,新馬,35.4,先行,初,,,,,,,,,,,,
