場所,クラス,馬券種,回収率,ウェイト,配分額,レース数/年,年間投資,年間払戻
阪神,未勝利,三連複,133.8,0.3589,3500,182.2,637700.0,853242.6
阪神,未勝利,三連単,128.9,0.3458,3400,182.2,619480.0,798509.72
阪神,未勝利,馬連,110.1,0.2953,2900,182.2,528380.0,581746.38
阪神,Ｇ１,三連複,1370.5,0.4638,4600,5.8,26680.0,365649.4
阪神,Ｇ１,三連単,1299.4,0.4398,4300,5.8,24940.0,324070.36000000004
阪神,Ｇ１,馬連,165.5,0.056,500,5.8,2900.0,4799.5
阪神,Ｇ１,複勝,119.3,0.0404,400,5.8,2320.0,2767.76
阪神,Ｇ２,馬連,117.9,0.5304,5300,7.9,41870.0,49364.73
阪神,Ｇ２,複勝,104.4,0.4696,4600,7.9,36340.0,37938.96
阪神,Ｇ３,三連単,871.6,0.5255,5200,9.8,50960.00000000001,444167.3600000001
阪神,Ｇ３,三連複,487.0,0.2936,2900,9.8,28420.000000000004,138405.40000000002
阪神,Ｇ３,馬連,183.3,0.1105,1100,9.8,10780.0,19759.74
阪神,Ｇ３,複勝,116.6,0.0703,700,9.8,6860.000000000001,7998.760000000001
阪神,ｵｰﾌﾟﾝ,三連複,209.6,0.3166,3100,19.1,59210.00000000001,124104.16000000002
阪神,ｵｰﾌﾟﾝ,三連単,195.1,0.2947,2900,19.1,55390.00000000001,108065.89000000001
阪神,ｵｰﾌﾟﾝ,馬連,145.3,0.2195,2100,19.1,40110.0,58279.83
阪神,ｵｰﾌﾟﾝ,複勝,112.1,0.1693,1600,19.1,30560.000000000004,34257.76
